"ï»¿""Date""",Column,Last Edited by: Name,Last Edited by: Username,Last Edited by: Role,Last Edited by: IP Address,Type,Value
10/22/15 13:30,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,7
10/22/15 13:44,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,18
10/22/15 13:35,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,18
10/22/15 13:44,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,19
10/22/15 13:42,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,19
10/22/15 13:41,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,19
10/22/15 13:35,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,19
10/22/15 13:32,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,19
10/22/15 13:30,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,19
10/22/15 13:44,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,20
10/22/15 13:36,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,20
10/22/15 13:35,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,20
10/22/15 13:34,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,20
10/22/15 13:31,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,20
10/22/15 13:30,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,20
10/22/15 13:43,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:40,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:40,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:39,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:39,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:34,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:33,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:32,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:31,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,21
10/22/15 13:41,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:45,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:44,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:41,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:38,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:34,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:34,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:32,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:30,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,22
10/22/15 13:44,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,23
10/22/15 13:43,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,23
10/22/15 13:41,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,23
10/22/15 13:35,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,23
10/22/15 13:31,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,23
10/22/15 13:43,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,24
10/22/15 13:39,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,24
10/22/15 13:38,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,24
10/22/15 13:37,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,24
10/22/15 13:32,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,24.5
10/22/15 13:40,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,25
10/22/15 13:38,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,25
10/22/15 13:35,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,25
10/22/15 13:33,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,25
10/22/15 13:33,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,25
10/22/15 13:44,midterm,Thomas D Citriniti,citrit,P,104.129.194.71,Grade,26
